Incident_ID,Year,Quarter,School,City,State,Targets,Bullied,Domestic_Violence,Gang_Related,Preplanned
20220601CAULL,2022,Summer,Ulysses S. Grant Senior High School,Los Angeles,CA,Victims Targeted,0,0,1,0
20220531LAMON,2022,Spring,Morris Jeff High School,New Orleans,LA,Both,0,0,0,0
20220530CAHEL,2022,Spring,Helix High School,La Mesa,CA,Victims Targeted,0,0,unknown,0
20220529ILDAC,2022,Spring,Daniel Webster Public School,Chicago,IL,Both,0,0,unknown,0
20220526SCMEG,2022,Spring,Mevers School of Excellence,Goose Creek,SC,Victims Targeted,0,unknown,unknown,0
20220526TXDUA,2022,Spring,Duff Elementary School,Arlington,TX,Neither,0,0,0,0
20220524TXROU,2022,Spring,Robb Elementary School,Uvalde,TX,Random Shooting,unknown,unknown,0,1
20220524DCPOW,2022,Spring,Powell Elementary School,Washington,DC,Victims Targeted,0,0,unknown,0
20220524WIRIM,2022,Spring,Riverside University High School,Milwaukee,WI,null,unknown,0,unknown,0
20220523PASIP,2022,Spring,Simon Gratz High School,Philadelphia,PA,Both,0,0,unknown,0
20220520ILSOP,2022,Spring,South Elementary School,Pittsfield,IL,Neither,0,0,0,0
20220520VAPOD,2022,Spring,Potomac High School,Dumfries,VA,Victims Targeted,unknown,0,unknown,unknown
20220520TNEAC,2022,Fall,East Lake Elementary School,Chattanooga,TN,Victims Targeted,0,unknown,unknown,0
20220520OHCAC,2022,Spring,Canal Winchester High School,Canal Winchester,OH,Victims Targeted,0,0,0,0
20220520ALMAT,2022,Spring,Mary W Burroughs Elementary School,Theodore,AL,Neither,0,0,0,0
20220519LAHAH,2022,Spring,Hammond High Magnet School,Hammond,LA,Both,0,0,1,0
20220519MIEAK,2022,Spring,East Kentwood High School,Kentwood,MI,Both,0,0,unknown,0
20220519VAGER,2022,Spring,George Wythe High School,Richmond,VA,Random Shooting,0,0,unknown,0
20220518FLPAP,2022,Spring,Palmetto High School,Palmetto,FL,Victims Targeted,0,0,unknown,0
20220518TNRIM,2022,Spring,Riverdale High School,Murfreesboro,TN,Both,0,0,unknown,0
20220517ILWAC,2022,Spring,Walt Disney Magnet School,Chicago,IL,Random Shooting,0,0,0,0
