incidentid,age,gender,race,criminalhistory
19700105DCHIW,Adolescent,Male,unknown,unknown
19700105DCSOW,unknown,Male,unknown,unknown
19700105DCUNW,unknown,Male,unknown,unknown
19700206OHJOC,Young Adult,Male,Hispanic,unknown
19700323CADAL,Adolescent,Male,Hispanic,unknown
19700323CADAL,Adult,Male,Hispanic,unknown
19700415ARPIP,Young Adult,Male,unknown,unknown
19700415ARPIP,Teen,Male,unknown,unknown
19700415ARPIP,Adult,Male,unknown,unknown
19700415ARPIP,Adult,Male,unknown,unknown
19700415ARPIP,Adult,Male,unknown,unknown
19700415ARPIP,Adult,Male,unknown,unknown
19700415ARPIP,Adult,Male,unknown,unknown
19700415ARPIP,Adult,Male,unknown,unknown
19700422DEPIW,Adolescent,Male,Hispanic,unknown
19700508FLCAD,Young Adult,Male,Hispanic,unknown
19700515UTBEO,Adolescent,Male,White,unknown
19700828TXRIE,Adolescent,Male,unknown,unknown
19700828TXRIE,Adolescent,Male,unknown,unknown
19700831FLALM,Adult,Male,Black,unknown
19700914TNHAN,Young Adult,Male,Black,unknown
19700924IDMEM,unknown,unknown,unknown,unknown
19700928IACED,Adolescent,Male,unknown,unknown
19701005MIPOD,Teen,Male,unknown,unknown
19701019TNBOM,Adolescent,Male,unknown,unknown
19701020TNWAN,Adolescent,Male,unknown,unknown
19701027OHAPM,Adolescent,Male,unknown,unknown
19701120ILHAC,Adolescent,Male,unknown,unknown
19701212WIXAA,Adult,unknown,unknown,unknown
19710202PAMOP,Adolescent,Male,Black,unknown
19710205PAJOW,Adolescent,Male,unknown,unknown
19710210TXOAD,Adolescent,Male,unknown,unknown
19710225OHFRC,Teen,Male,unknown,unknown
19710309AZROT,Adolescent,Male,unknown,unknown
19710405PAWIH,Adolescent,Male,unknown,unknown
19710527MIBES,Adolescent,Male,unknown,unknown
19710602NYEAE,Adolescent,Male,unknown,unknown
19710820PAMOM,Adult,Male,White,unknown
19710909TXDUL,Adolescent,Male,White,unknown
19710924NYMCB,Teen,unknown,unknown,unknown
19710928MNCEM,Young Adult,Male,unknown,unknown
19710929VAPEP,Adolescent,Male,Black,unknown
19711028MDCIB,unknown,Male,unknown,unknown
19711029MDFOB,Adolescent,Male,unknown,unknown
19711029MDFRB,Teen,Male,unknown,unknown
19711029MDFRB,Teen,Male,unknown,unknown
19711103NMCAC,Young Adult,Male,unknown,unknown
19711108OKGRT,Adult,Male,unknown,unknown
19711124MDEDB,Adolescent,Male,unknown,unknown
19711206CALOL,Adolescent,Male,Hispanic,unknown
19711206CALOL,Adolescent,Male,Hispanic,unknown
19711213MDCAB,Adolescent,Male,unknown,unknown
19720105DCPAW,Adult,Male,unknown,unknown
19720124OHSTS,Adolescent,Male,White,unknown
19720126MDGWB,Teen,Male,unknown,unknown
19720126MDHAB,Adolescent,Male,unknown,unknown
19720214ILCAC,unknown,Male,unknown,unknown
19720215ILKEC,Young Adult,Male,unknown,unknown
19720228CAMAL,Adolescent,Male,unknown,unknown
19720313TXUNH,Adolescent,Male,unknown,unknown
19720412LAEAG,Adult,Male,unknown,unknown
19720504NVLIR,Adult,Male,White,unknown
19720505INDEI,Adolescent,Female,White,unknown
19720914TXFRH,Adolescent,Male,unknown,unknown
19720915MISAS,Adolescent,Male,unknown,unknown
19720919TXCUH,Adult,Male,unknown,unknown
19720921OHTHA,Young Adult,Male,unknown,unknown
19721111CAJEL,Teen,Male,unknown,unknown
19721111CAJEL,Teen,Male,unknown,unknown
19721127MIPOP,Adolescent,Male,Black,unknown
19721129FLMIM,Teen,Male,unknown,unknown
19730105NCSOS,Teen,Male,Black,unknown
19730118CAJOL,Young Adult,Male,unknown,unknown
19730118CAJOL,Young Adult,Male,unknown,unknown
19730131NCCUB,Adolescent,Male,unknown,unknown
19730212ALBOM,Young Adult,Male,unknown,Yes
19730226VAARR,Young Adult,Male,Black,unknown
19730405CALOL,unknown,Male,unknown,unknown
19730501OHRAY,Adolescent,Male,unknown,unknown
19730928CAWIL,Adolescent,Male,unknown,unknown
19731002ILELA,Adolescent,Male,unknown,unknown
19731019MOBES,Adolescent,Male,unknown,unknown
19731023MOSUS,Adolescent,Male,unknown,unknown
19731023MOSUS,Teen,Male,unknown,unknown
19731023OHBAB,Adolescent,Male,White,unknown
19731024MNCEM,Adolescent,Male,unknown,unknown
19731031MONOS,Young Adult,Male,unknown,unknown
19731108ILWOC,Adolescent,Male,unknown,unknown
19731109CALOL,Teen,Male,unknown,unknown
19731206CAFRL,unknown,unknown,unknown,unknown
19731213OHHUC,Adolescent,Male,unknown,Yes
19740117ILBAC,Adolescent,Male,unknown,unknown
19740122CALOL,Adolescent,Male,unknown,unknown
19740207CAJAO,Young Adult,Male,Black,unknown
