incidentid,race,injury,gender,schoolaffiliation,age
19700105DCHIW,unknown,Fatal,Male,Student,Adolescent
19700105DCSOW,unknown,Wounded,Male,Student,Teen
19700105DCUNW,unknown,None,Male,Unknown,Adolescent
19700206OHJOC,unknown,Wounded,Male,Student,Young Adult
19700323CADAL,unknown,Wounded,Male,Security Guard,Adult
19700323CADAL,unknown,Wounded,Male,Student,Adolescent
19700415ARPIP,Black,Fatal,Male,Student,Young Adult
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700422DEPIW,Black,Fatal,Male,Student,Young Adult
19700508FLCAD,unknown,Wounded,Male,Student,Young Adult
19700515UTBEO,unknown,Wounded,Female,Teacher,Adult
19700515UTBEO,unknown,Wounded,Male,Student,Adolescent
19700828TXRIE,Hispanic,Wounded,Male,Student,Adolescent
19700831FLALM,Hispanic,Fatal,Male,Parent,Adult
19700914TNHAN,Black,Wounded,Male,Student,Adolescent
19700914TNHAN,Black,Wounded,Male,Student,Adolescent
19700914TNHAN,Black,Fatal,Male,Student,Young Adult
19700924IDMEM,unknown,Fatal,Male,Student,Adolescent
19700928IACED,unknown,Wounded,Female,Student,Teen
19701005MIPOD,unknown,Wounded,Male,Student,Teen
19701005MIPOD,unknown,Wounded,Male,Student,Teen
19701005MIPOD,unknown,Wounded,Male,Student,Teen
19701005MIPOD,unknown,Wounded,Male,Student,Teen
19701019TNBOM,unknown,Fatal,Male,Student,Teen
19701020TNWAN,unknown,Wounded,Male,Student,Adolescent
19701027OHAPM,unknown,Wounded,Male,Student,Adolescent
19701120ILHAC,unknown,Wounded,Female,Student,Adolescent
19701120ILHAC,unknown,Wounded,Male,Student,Adolescent
19701212WIXAA,unknown,Fatal,Male,No Relation,Adult
19710202PAMOP,White,Fatal,Male,Teacher,Adult
19710205PAJOW,unknown,Wounded,Male,Student,Adolescent
19710210TXOAD,unknown,Wounded,unknown,Student,Teen
19710210TXOAD,unknown,Wounded,unknown,Student,Teen
19710225OHFRC,unknown,Fatal,Male,Student,Adolescent
19710309AZROT,unknown,Wounded,Female,Student,Adolescent
19710405PAWIH,unknown,Minor Injuries,Female,Student,Young Adult
19710527MIBES,unknown,Wounded,Male,Student,Adolescent
19710602NYEAE,unknown,None,Male,Student,Adolescent
19710820PAMOM,Black,Wounded,Male,Student,Young Adult
